2022-05-18 15:05:772 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:450 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:188 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (93475621394805a5aa9da5bd1b95b61c)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:217 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (93475621394805a5aa9da5bd1b95b61c)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:363 INFO  NewAndUsedCarSearchPage :44 - Verify message[[ChromeDriver: chrome on WINDOWS (93475621394805a5aa9da5bd1b95b61c)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:509 INFO  NewAndUsedCarSearchPage :48 - Select any Make[[ChromeDriver: chrome on WINDOWS (93475621394805a5aa9da5bd1b95b61c)] -> id: makes]
2022-05-18 16:05:714 INFO  NewAndUsedCarSearchPage :52 - Select model[[ChromeDriver: chrome on WINDOWS (93475621394805a5aa9da5bd1b95b61c)] -> id: models]
2022-05-18 16:05:878 INFO  NewAndUsedCarSearchPage :56 - Select address[[ChromeDriver: chrome on WINDOWS (93475621394805a5aa9da5bd1b95b61c)] -> id: locations]
2022-05-18 16:05:60 INFO  NewAndUsedCarSearchPage :60 - Select price[[ChromeDriver: chrome on WINDOWS (93475621394805a5aa9da5bd1b95b61c)] -> id: priceTo]
2022-05-18 16:05:227 INFO  NewAndUsedCarSearchPage :64 - Click on find my next car[[ChromeDriver: chrome on WINDOWS (93475621394805a5aa9da5bd1b95b61c)] -> id: search-submit]
2022-05-18 16:05:175 INFO  NewAndUsedCarSearchPage :68 - Verify message[[ChromeDriver: chrome on WINDOWS (93475621394805a5aa9da5bd1b95b61c)] -> id: uhf-make]
2022-05-18 16:05:856 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:184 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (3a32b4bd7453e958400dd807f8643e7f)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:439 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (3a32b4bd7453e958400dd807f8643e7f)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:503 INFO  NewAndUsedCarSearchPage :44 - Verify message[[ChromeDriver: chrome on WINDOWS (3a32b4bd7453e958400dd807f8643e7f)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:576 INFO  NewAndUsedCarSearchPage :48 - Select any Make[[ChromeDriver: chrome on WINDOWS (3a32b4bd7453e958400dd807f8643e7f)] -> id: makes]
2022-05-18 16:05:695 INFO  NewAndUsedCarSearchPage :52 - Select model[[ChromeDriver: chrome on WINDOWS (3a32b4bd7453e958400dd807f8643e7f)] -> id: models]
2022-05-18 16:05:912 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:112 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:457 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (051bdb9616e461c9377816a22e73763f)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:299 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (051bdb9616e461c9377816a22e73763f)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:420 INFO  NewAndUsedCarSearchPage :44 - Verify message[[ChromeDriver: chrome on WINDOWS (051bdb9616e461c9377816a22e73763f)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:481 INFO  NewAndUsedCarSearchPage :48 - Select any Make[[ChromeDriver: chrome on WINDOWS (051bdb9616e461c9377816a22e73763f)] -> id: makes]
2022-05-18 16:05:641 INFO  NewAndUsedCarSearchPage :52 - Select model[[ChromeDriver: chrome on WINDOWS (051bdb9616e461c9377816a22e73763f)] -> id: models]
2022-05-18 16:05:55 INFO  NewAndUsedCarSearchPage :56 - Select address[[ChromeDriver: chrome on WINDOWS (051bdb9616e461c9377816a22e73763f)] -> id: locations]
2022-05-18 16:05:260 INFO  NewAndUsedCarSearchPage :60 - Select price[[ChromeDriver: chrome on WINDOWS (051bdb9616e461c9377816a22e73763f)] -> id: priceTo]
2022-05-18 16:05:421 INFO  NewAndUsedCarSearchPage :64 - Click on find my next car[[ChromeDriver: chrome on WINDOWS (051bdb9616e461c9377816a22e73763f)] -> id: search-submit]
2022-05-18 16:05:984 INFO  NewAndUsedCarSearchPage :68 - Verify message[[ChromeDriver: chrome on WINDOWS (051bdb9616e461c9377816a22e73763f)] -> id: uhf-make]
2022-05-18 16:05:131 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:143 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (f06ed0b3d39a08635d629e31f4f963de)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:44 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (f06ed0b3d39a08635d629e31f4f963de)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:451 INFO  NewAndUsedCarSearchPage :44 - Verify message[[ChromeDriver: chrome on WINDOWS (f06ed0b3d39a08635d629e31f4f963de)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:547 INFO  NewAndUsedCarSearchPage :48 - Select any Make[[ChromeDriver: chrome on WINDOWS (f06ed0b3d39a08635d629e31f4f963de)] -> id: makes]
2022-05-18 16:05:912 INFO  NewAndUsedCarSearchPage :52 - Select model[[ChromeDriver: chrome on WINDOWS (f06ed0b3d39a08635d629e31f4f963de)] -> id: models]
2022-05-18 16:05:137 INFO  NewAndUsedCarSearchPage :56 - Select address[[ChromeDriver: chrome on WINDOWS (f06ed0b3d39a08635d629e31f4f963de)] -> id: locations]
2022-05-18 16:05:455 INFO  NewAndUsedCarSearchPage :60 - Select price[[ChromeDriver: chrome on WINDOWS (f06ed0b3d39a08635d629e31f4f963de)] -> id: priceTo]
2022-05-18 16:05:718 INFO  NewAndUsedCarSearchPage :64 - Click on find my next car[[ChromeDriver: chrome on WINDOWS (f06ed0b3d39a08635d629e31f4f963de)] -> id: search-submit]
2022-05-18 16:05:753 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:681 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:939 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:66 INFO  NewAndUsedCarSearchPage :44 - Verify message[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:720 INFO  NewAndUsedCarSearchPage :48 - Select any Make[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> id: makes]
